Campylobacter_jejuni	GCA_001225425.1_7065_7_45_genomic
Campylobacter_jejuni	GCA_001226425.1_7065_7_69_genomic
Campylobacter_jejuni	GCA_001232325.1_7065_7_82_genomic
Campylobacter_jejuni	GCA_001232565.1_7213_3_9_genomic
Campylobacter_jejuni	GCA_001234965.1_7213_3_46_genomic
Campylobacter_jejuni	GCA_001238785.1_7092_1_95_genomic
Campylobacter_jejuni	GCA_001406915.1_9_S8_genomic
Chlamydia_psittaci	GCA_000786005.2_ASM78600v2_genomic
Citrobacter_freundii	GCA_001686345.1_ASM168634v1_genomic
Citrobacter_freundii	GCA_001686385.1_ASM168638v1_genomic
Clostridioides_difficile	GCA_000193655.2_ASM19365v2_genomic
Clostridioides_difficile	GCA_000193675.2_ASM19367v2_genomic
Clostridioides_difficile	GCA_000193715.2_ASM19371v2_genomic
Clostridioides_difficile	GCA_000210415.1_ASM21041v1_genomic
Clostridioides_difficile	GCA_000210455.1_ASM21045v1_genomic
Clostridioides_difficile	GCA_000270485.1_ASM27048v1_genomic
Clostridioides_difficile	GCA_001010825.1_ASM101082v1_genomic
Clostridioides_difficile	GCA_001913915.1_ASM191391v1_genomic
Clostridioides_difficile	GCA_001984465.1_ASM198446v1_genomic
Clostridioides_difficile	GCA_001995155.1_ASM199515v1_genomic
Clostridioides_difficile	GCA_900006345.1_CD105HS1_genomic
Clostridioides_difficile	GCA_900010395.1_Peptoclostridium_difficile_genomic
Clostridioides_difficile	GCA_900012085.1_Peptoclostridium_difficile_genomic
Clostridium_beijerinckii	GCA_000497775.2_ClosBeijAAU1_genomic
Clostridium_botulinum	GCA_000730865.1_ASM73086v1_genomic
Clostridium_botulinum	GCA_000730945.1_ASM73094v1_genomic
Clostridium_botulinum	GCA_000965345.1_ASM96534v1_genomic
Clostridium_perfringens	GCA_001913905.1_ASM191390v1_genomic
Clostridium_sporogenes	GCA_000965435.1_ASM96543v1_genomic
Coxiella_burnetii	GCA_000359545.5_G255_GS_genomic
Cronobacter_sakazakii	GCA_001971125.1_ASM197112v1_genomic
